,altitude_above_seaLevel(feet), compass_heading(degrees),latitude,longitude
1928,2151.582601659,356.6,40.2690236398495,-7.50205264381086
1929,2151.582601659,356.5,40.2690285167397,-7.50205291972604
1930,2151.582601659,356.5,40.2690336581412,-7.50205322366386
1931,2151.910685659,356.4,40.2690387887038,-7.50205351323109
1932,2151.910685659,356.3,40.2690443369819,-7.5020538415989
1933,2151.910685659,356.3,40.2690497816649,-7.50205418541508
1934,2151.910685659,356.3,40.2690557230623,-7.50205465174048
1935,2151.910685659,356.4,40.269061559614,-7.5020549941196
1936,2152.238769659,356.4,40.2690679025728,-7.50205531386506
1937,2152.238769659,356.4,40.2690739700769,-7.5020556185214
1938,2152.566853659,356.5,40.2690803588926,-7.50205585563601
1939,2152.566853659,356.5,40.2690865386422,-7.50205619334469
1940,2152.238769659,356.6,40.2690931940537,-7.50205657416513
1941,2152.566853659,356.7,40.2690995981898,-7.50205694708174
1942,2152.238769659,356.8,40.2691064035746,-7.50205733832084
1943,2152.238769659,356.9,40.2691129416339,-7.50205776189376
1944,2152.238769659,357.0,40.2691198341469,-7.50205796775235
1945,2152.238769659,357.0,40.2691264368229,-7.50205816031815
1946,2151.910685659,357.0,40.2691334275115,-7.50205838629556
1947,2151.582601659,357.0,40.2691399986087,-7.50205849982316
1948,2151.582601659,356.9,40.269147044013,-7.50205880879068
1949,2151.582601659,356.9,40.269153813129,-7.50205913536216
1950,2151.582601659,357.0,40.269161026224,-7.50205951977524
1951,2151.254517659,356.9,40.2691678942452,-7.502059970293
1952,2151.254517659,356.9,40.2691751846717,-7.50206047973014
1953,2151.254517659,357.0,40.269182154412,-7.50206095467789
1954,2150.926433659,357.0,40.2691895127903,-7.50206141525505
1955,2150.926433659,357.0,40.269196468565,-7.50206213234711
1956,2150.598349659,357.0,40.2692039146969,-7.50206258933163
1957,2150.598349659,357.0,40.2692109668755,-7.50206298775602
1958,2150.598349659,357.0,40.2692182961763,-7.50206335133175
1959,2150.598349659,356.9,40.269225333243,-7.50206370987778
1960,2150.926433659,356.9,40.269232609704,-7.50206405405323
1961,2150.926433659,357.0,40.2692400036214,-7.5020644567888
1962,2150.270265659,357.0,40.2692480459982,-7.50206489616935
1963,2150.270265659,357.1,40.2692555584142,-7.50206531399404
1964,2150.270265659,357.1,40.2692637191854,-7.50206579253443
1965,2150.270265659,357.0,40.2692710082571,-7.50206620497014
1966,2150.270265659,357.0,40.2692786774206,-7.50206662854306
1967,2150.270265659,356.9,40.2692859160496,-7.5020670305601
1968,2150.270265659,356.9,40.2692928941275,-7.50206749975961
1969,2150.598349659,357.0,40.2693000662639,-7.50206793339193
1970,2150.598349659,357.0,40.2693077281319,-7.50206842558438
1971,2150.598349659,357.1,40.26931504576,-7.50206889155051
1972,2150.598349659,357.0,40.2693229229475,-7.50206952457466
1973,2150.598349659,357.0,40.2693303504238,-7.50206999988167
1974,2150.598349659,356.9,40.2693382296957,-7.50207051075587
1975,2150.598349659,356.9,40.2693456770782,-7.50207100115199
1976,2150.598349659,357.0,40.269353413047,-7.50207151130767
1977,2150.270265659,357.0,40.2693610640762,-7.50207204481554
1978,2150.270265659,356.9,40.2693685273001,-7.50207255640827
1979,2150.270265659,356.9,40.2693756280455,-7.50207306261203
1980,2150.270265659,357.0,40.2693831411911,-7.50207362701665
1981,2150.270265659,357.0,40.269389875289,-7.50207427153727
1982,2150.270265659,357.0,40.2693974576369,-7.50207476696309
1983,2150.270265659,356.8,40.2694046613521,-7.50207522574394
1984,2150.270265659,356.9,40.2694122199377,-7.50207569278786
1985,2150.598349659,356.9,40.2694196216716,-7.50207614941312
1986,2150.598349659,356.9,40.2694273133468,-7.50207666567629
1987,2150.598349659,356.9,40.2694345811575,-7.50207714888712
1988,2150.926433659,356.8,40.2694421315097,-7.50207764467221
1989,2150.926433659,356.9,40.2694491565911,-7.50207830931164
1990,2150.926433659,356.8,40.2694564200245,-7.50207883850833
1991,2151.254517659,356.8,40.2694634180085,-7.50207933644901
1992,2151.254517659,356.9,40.2694709610654,-7.50207985630483
1993,2151.254517659,356.9,40.2694781013103,-7.50208033915639
1994,2151.582601659,356.9,40.2694856775092,-7.50208087661617
1995,2151.582601659,356.9,40.2694927608497,-7.50208130809291
1996,2151.254517659,357.0,40.2695002205302,-7.50208172124715
1997,2151.254517659,357.0,40.269507251969,-7.50208211571964
1998,2151.254517659,357.0,40.2695142895568,-7.50208249725859
1999,2151.254517659,357.0,40.2695212416839,-7.50208291041284
2000,2151.254517659,356.9,40.269528650609,-7.50208334153031
2001,2151.254517659,357.0,40.2695357761588,-7.50208376510322
2002,2151.254517659,357.0,40.2695437648621,-7.50208427454037
2003,2151.254517659,357.0,40.269550898958,-7.50208472038768
2004,2151.254517659,357.0,40.269558195742,-7.50208518671308
2005,2151.254517659,356.9,40.2695652258259,-7.50208562788996
2006,2151.254517659,356.9,40.2695727754486,-7.50208616391268
2007,2151.254517659,356.9,40.2695799398727,-7.50208659970059
2008,2151.254517659,356.9,40.2695874191466,-7.50208704590717
2009,2151.254517659,356.9,40.2695945212468,-7.50208746840229
2010,2151.254517659,356.9,40.2696019655027,-7.5020879102977
2011,2151.254517659,356.9,40.2696090431111,-7.50208835363016
2012,2150.926433659,356.9,40.269616478404,-7.5020888296557
2013,2150.926433659,356.9,40.2696236292794,-7.50208930424418
2014,2151.254517659,356.8,40.2696312441441,-7.50208982122588
2015,2151.254517659,356.8,40.2696385647945,-7.50209038742682
2016,2150.926433659,356.7,40.2696458574097,-7.50209092560513
2017,2151.254517659,356.7,40.2696528057848,-7.50209140630111
2018,2151.254517659,356.7,40.2696601520735,-7.50209188304518
2019,2150.926433659,356.8,40.2696667212947,-7.50209239966762
2020,2151.254517659,356.8,40.2696741228202,-7.50209294107931
2021,2151.254517659,356.7,40.2696811709343,-7.50209346812041
2022,2151.254517659,356.8,40.2696885930954,-7.50209403036945
2023,2150.926433659,356.8,40.2696957651276,-7.50209463213758
2024,2151.254517659,356.8,40.2697032083412,-7.50209521809808
2025,2151.254517659,356.8,40.2697102825104,-7.50209578501755
2026,2151.254517659,356.7,40.2697177032124,-7.50209639684509
2027,2151.582601659,356.7,40.269724735485,-7.50209697166838
2028,2151.254517659,356.7,40.2697320409192,-7.50209758421446
2029,2151.254517659,356.7,40.2697390195183,-7.50209814071526
2030,2151.582601659,356.8,40.2697463430869,-7.50209874320192
2031,2151.254517659,356.9,40.2697533107428,-7.50209931694742
2032,2151.582601659,356.9,40.2697605509351,-7.50209996254583
2033,2151.582601659,356.8,40.2697675347452,-7.50210041737476
2034,2151.582601659,356.8,40.2697748934361,-7.50210082011033
2035,2151.582601659,356.8,40.2697819098671,-7.50210119949371
2036,2151.582601659,356.7,40.2697893870566,-7.50210159648104
2037,2151.582601659,356.9,40.2697963471044,-7.50210195035663
2038,2151.582601659,356.9,40.2698035238265,-7.50210225429445
2039,2151.582601659,356.9,40.2698105494289,-7.5021025183539
2040,2151.582601659,356.9,40.2698184189041,-7.50210272133838
2041,2151.582601659,356.9,40.269825590832,-7.50210296707533
2042,2151.582601659,357.0,40.2698329120035,-7.50210321496788
2043,2151.582601659,357.1,40.2698399116551,-7.50210347040498
2044,2151.582601659,357.2,40.269847328501,-7.50210377146868
2045,2151.582601659,357.1,40.2698541053293,-7.50210404918018
2046,2151.582601659,357.2,40.2698615568806,-7.50210432078419
2047,2151.582601659,357.2,40.2698685959275,-7.50210456436556
2048,2151.582601659,357.2,40.2698759036546,-7.50210482123972
2049,2151.582601659,357.2,40.2698826065906,-7.50210515248164
2050,2151.254517659,357.2,40.2698900328164,-7.50210543701917
2051,2151.254517659,357.2,40.2698971214722,-7.5021056942526
2052,2151.254517659,357.2,40.2699046262801,-7.50210592777456
2053,2151.254517659,357.1,40.2699118825223,-7.50210614908153
2054,2150.926433659,357.2,40.2699194090081,-7.50210648643095
2055,2151.254517659,357.1,40.2699265789558,-7.50210680186523
2056,2150.926433659,357.1,40.2699340939773,-7.50210712017363
2057,2150.926433659,357.2,40.2699413795055,-7.50210752111288
2058,2150.926433659,357.3,40.2699488299625,-7.50210786025862
2059,2150.598349659,357.3,40.2699558921463,-7.50210819473392
2060,2150.926433659,357.3,40.2699632954435,-7.50210856729127
2061,2150.926433659,357.3,40.269970351322,-7.50210892188539
2062,2150.926433659,357.3,40.2699780125127,-7.50210943240033
2063,2150.926433659,357.3,40.2699850183654,-7.50210975717549
2064,2150.926433659,357.3,40.2699922732527,-7.50211005716139
2065,2150.926433659,357.3,40.2699991956248,-7.50211033415437
2066,2150.926433659,357.3,40.2700065892296,-7.50211051450518
2067,2150.926433659,357.3,40.2700133570949,-7.50211080694653
2068,2151.254517659,357.3,40.2700201374668,-7.50211115543315
2069,2151.254517659,357.3,40.2700266853749,-7.50211149062698
2070,2151.582601659,357.3,40.2700332429235,-7.50211187288447
2071,2151.254517659,357.4,40.2700400180843,-7.502112169637
2072,2151.254517659,357.4,40.2700471162241,-7.50211244160027
2073,2151.254517659,357.4,40.2700538550641,-7.50211269380399
2074,2150.926433659,357.3,40.2700610016665,-7.50211298516754
2075,2151.254517659,357.3,40.2700676969423,-7.50211326216052
2076,2151.254517659,357.3,40.2700747150409,-7.50211356250569
2077,2151.582601659,357.2,40.2700812976024,-7.50211382872073
2078,2151.582601659,357.2,40.2700880459785,-7.50211407158357
2079,2151.582601659,357.2,40.270094192117,-7.50211433528375
2080,2151.910685659,357.1,40.2701009463816,-7.5021146956261
2081,2151.910685659,357.2,40.2701073577089,-7.50211504806464
2082,2151.910685659,357.1,40.2701141197379,-7.50211543355551
2083,2152.238769659,357.1,40.2701206521693,-7.50211587329533
2084,2152.238769659,357.2,40.2701274259753,-7.50211621423739
2085,2152.238769659,357.2,40.2701338141657,-7.50211656236475
2086,2152.238769659,357.4,40.2701404458149,-7.50211698126722
2087,2152.566853659,357.6,40.2701469793928,-7.50211745657424
2088,2152.566853659,357.8,40.2701535217252,-7.50211783020938
2089,2152.566853659,358.1,40.2701597151276,-7.50211817079218
2090,2152.238769659,358.4,40.2701661852874,-7.50211850454895
2091,2152.238769659,358.9,40.2701723790546,-7.50211887028027
2092,2152.238769659,359.2,40.2701789160717,-7.50211925181923
2093,2152.238769659,359.7,40.2701849495479,-7.50211958342042
2094,2151.910685659,0.0,40.2701910118932,-7.50211988663971
2095,2151.910685659,0.8,40.2701966715828,-7.50212014746578
2096,2151.582601659,1.3,40.2702019854692,-7.50212023871898
2097,2151.582601659,1.4,40.2702070624625,-7.50212042769213
2098,2151.582601659,1.6,40.2702119441989,-7.50212064145454
2099,2151.582601659,1.8,40.2702162958702,-7.50212083366108
2100,2151.254517659,2.4,40.2702204530663,-7.50212107257201
2101,2150.926433659,3.0,40.2702240378317,-7.50212125507841
2102,2150.926433659,3.6,40.2702272016509,-7.50212141746599
2103,2150.926433659,4.1,40.2702297413982,-7.50212156045329
2104,2150.598349659,4.8,40.2702315183042,-7.50212196211106
2105,2150.598349659,5.5,40.2702331046952,-7.50212215288054
2106,2150.598349659,6.1,40.2702343157365,-7.5021223763431
2107,2150.598349659,7.0,40.2702350953573,-7.50212257573493
2108,2150.926433659,8.2,40.2702352159403,-7.50212313331352
2109,2150.926433659,9.4,40.2702354686748,-7.50212332120889
2110,2150.926433659,10.5,40.2702356015559,-7.50212349509293
2111,2151.254517659,11.9,40.2702356694033,-7.50212361867994
2112,2151.254517659,13.3,40.2702357300596,-7.50212368981432
2113,2151.582601659,14.8,40.27023582292,-7.50212403506756
2114,2151.582601659,16.3,40.2702358907154,-7.50212415542119
2115,2151.910685659,17.8,40.2702359574165,-7.50212425673379
2116,2151.910685659,19.2,40.2702360402717,-7.50212434044244
2117,2151.910685659,20.5,40.2702364132766,-7.50212462929114
2118,2151.910685659,21.7,40.2702365152562,-7.50212470545523
2119,2151.910685659,22.9,40.2702365924836,-7.50212475251889
2120,2151.910685659,24.1,40.2702366460007,-7.50212476185976
2121,2152.238769659,25.3,40.2702369697094,-7.50212480640857
2122,2152.238769659,26.5,40.2702369525651,-7.50212479922328
2123,2152.238769659,27.7,40.2702369273438,-7.50212479922328
2124,2152.238769659,28.9,40.2702368890949,-7.50212481610871
2125,2152.238769659,29.9,40.2702367992569,-7.50212479670843
2126,2151.910685659,30.9,40.2702367082724,-7.50212478449343
2127,2152.238769659,32.0,40.2702366454796,-7.50212478736755
2128,2152.238769659,33.1,40.2702366203104,-7.50212482113842
2129,2152.566853659,34.1,40.2702366183302,-7.50212486532796
2130,2152.566853659,34.8,40.2702366322437,-7.50212490305073
2131,2152.894937659,35.1,40.2702366420404,-7.50212493502528
2132,2152.894937659,35.2,40.2702366309409,-7.50212495909601
2133,2152.566853659,35.2,40.2702366456881,-7.50212498316673
2134,2152.566853659,35.2,40.2702366587156,-7.50212502412289
2135,2152.566853659,35.2,40.2702366859172,-7.50212502340436
2136,2152.566853659,35.2,40.2702366842496,-7.5021249996929
2137,2152.566853659,35.2,40.2702367164016,-7.50212498137041
2138,2152.238769659,35.2,40.2702367989963,-7.50212484808326
2139,2152.238769659,35.2,40.2702369445922,-7.502124767608
2140,2152.238769659,35.2,40.2702371536063,-7.50212461743541
2141,2152.238769659,35.2,40.2702374434954,-7.50212437960227
2142,2152.238769659,35.3,40.2702377649111,-7.50212402177477
2143,2152.238769659,35.3,40.2702382746532,-7.50212357772378
2144,2152.238769659,35.2,40.2702389569321,-7.50212302194151
2145,2152.238769659,35.2,40.2702397244634,-7.50212242161043
2146,2152.238769659,35.2,40.2702406593205,-7.5021216940997
2147,2152.566853659,35.1,40.2702417256517,-7.50212079054934
2148,2152.238769659,35.1,40.270242817569,-7.50211984388722
2149,2152.238769659,35.2,40.2702439496633,-7.50211886345425
2150,2151.910685659,35.2,40.2702452458005,-7.50211777272705
2151,2151.582601659,35.2,40.2702466432399,-7.50211650703801
2152,2151.582601659,35.2,40.2702480564166,-7.50211526038999
2153,2151.582601659,35.1,40.270249497785,-7.50211398033037
2154,2151.582601659,35.0,40.2702511301894,-7.50211251489024
2155,2151.254517659,35.0,40.2702526603014,-7.5021109581969
2156,2151.254517659,35.0,40.2702545459093,-7.50210929947244
2157,2151.254517659,35.0,40.2702564389168,-7.50210763104783
2158,2151.254517659,34.9,40.2702585241589,-7.50210578514653
2159,2151.254517659,34.9,40.2702605199798,-7.50210381601749
2160,2151.254517659,34.9,40.2702628755176,-7.5021017053382
2161,2151.254517659,35.0,40.2702652146927,-7.50209963381876
2162,2151.254517659,35.0,40.270267779974,-7.50209741176747
2163,2151.254517659,35.0,40.2702702781374,-7.5020952198944
2164,2151.254517659,35.0,40.2702729766645,-7.50209279306231
2165,2151.254517659,35.0,40.2702755913463,-7.50209045856121
2166,2151.254517659,35.0,40.270278432499,-7.50208794694268
2167,2151.254517659,35.0,40.2702811685455,-7.50208551436236
2168,2150.926433659,34.9,40.2702839944821,-7.50208303867029
2169,2150.926433659,34.8,40.2702868217735,-7.50208046166561
2170,2150.926433659,34.7,40.2702898966927,-7.50207762814604
2171,2150.926433659,34.8,40.2702928006903,-7.50207492288391
2172,2150.598349659,34.8,40.2702956162049,-7.50207215223564
2173,2150.926433659,34.8,40.270298513324,-7.50206940206545
2174,2150.598349659,34.7,40.2703016402491,-7.50206641513991
2175,2150.926433659,34.7,40.2703046717605,-7.50206353563447
2176,2150.926433659,34.7,40.2703078271899,-7.50206044919265
2177,2150.926433659,34.7,40.2703109515616,-7.502057527294
2178,2150.926433659,34.7,40.2703142505547,-7.50205446671923
2179,2150.926433659,34.8,40.2703174550719,-7.50205150530147
2180,2150.926433659,34.9,40.2703209239963,-7.50204831431367
2181,2150.926433659,34.8,40.2703242277835,-7.50204533098077
2182,2150.926433659,34.8,40.2703278148939,-7.50204194742716
2183,2150.926433659,34.7,40.270331312531,-7.50203866518616
2184,2150.926433659,34.8,40.2703350971391,-7.50203517026054
2185,2151.254517659,34.8,40.2703389280732,-7.5020315751001
2186,2151.254517659,34.8,40.270342698872,-7.50202806580389
2187,2151.254517659,34.8,40.2703463342365,-7.50202469769866
2188,2151.254517659,34.8,40.2703502154568,-7.50202115822423
2189,2151.582601659,34.8,40.2703538686951,-7.50201786987573
2190,2151.582601659,34.8,40.2703578109365,-7.50201427040412
2191,2151.582601659,34.8,40.2703616041428,-7.50201077404144
2192,2151.582601659,34.9,40.2703656310112,-7.50200698308182
2193,2151.582601659,34.9,40.2703693152029,-7.50200336636551
2194,2151.254517659,34.9,40.2703734241449,-7.50199951864209
2195,2151.582601659,34.9,40.2703774388717,-7.50199574384938
2196,2151.582601659,34.9,40.2703817878593,-7.50199164571856
2197,2151.582601659,34.9,40.2703858459939,-7.50198781811396
2198,2151.582601659,34.9,40.2703897608775,-7.50198401709493
2199,2151.582601659,34.9,40.2703937590332,-7.5019802171537
2200,2151.582601659,34.9,40.2703981654463,-7.50197601627322
2201,2151.582601659,34.9,40.2704024079728,-7.50197202699956
2202,2151.254517659,35.0,40.2704070389549,-7.50196765223504
2203,2151.254517659,34.9,40.2704113552955,-7.50196363350169
2204,2151.254517659,35.0,40.2704159268459,-7.50195935753491
2205,2151.254517659,35.0,40.2704202860211,-7.50195528383409
2206,2151.582601659,35.1,40.2704248339395,-7.50195093996631
2207,2151.582601659,35.0,40.2704291581488,-7.50194686770254
2208,2151.582601659,35.0,40.2704336448377,-7.50194263125487
2209,2151.582601659,35.1,40.2704379929395,-7.50193852342391
2210,2151.910685659,35.0,40.2704426652189,-7.501934169856
2211,2151.582601659,35.0,40.2704471852062,-7.50192991257098
2212,2151.582601659,35.1,40.2704519693662,-7.50192541026753
2213,2151.910685659,35.0,40.2704565145228,-7.50192110987077
2214,2151.910685659,35.0,40.27046125762,-7.5019165784669
2215,2151.910685659,35.0,40.270465831385,-7.50191216526106
2216,2151.582601659,35.0,40.2704706562171,-7.50190762128293
2217,2151.582601659,35.0,40.2704752240937,-7.50190332807146
2218,2151.582601659,35.0,40.2704799668521,-7.50189886420932
2219,2151.254517659,35.0,40.2704843737864,-7.50189472260749
2220,2151.254517659,35.0,40.2704893856159,-7.50189002701971
2221,2151.254517659,35.0,40.2704942258986,-7.50188552148289
2222,2151.254517659,35.0,40.2704993675867,-7.50188076266455
2223,2151.254517659,35.0,40.2705047052614,-7.50187593774153
2224,2151.254517659,35.1,40.2705095868154,-7.50187131113255
2225,2151.254517659,35.1,40.2705142378078,-7.50186690583054
2226,2151.254517659,35.1,40.2705191535982,-7.50186227131773
2227,2151.254517659,35.1,40.2705234719451,-7.50185806648534
2228,2151.254517659,35.1,40.2705283717116,-7.50185330191877
2229,2151.254517659,35.1,40.270533054856,-7.50184876117402
2230,2151.254517659,35.1,40.2705380099114,-7.50184397900348
2231,2150.926433659,35.1,40.270542738079,-7.50183942568447
2232,2150.926433659,35.1,40.2705478199447,-7.50183460830601
2233,2150.926433659,35.1,40.2705525672888,-7.50183004241274
2234,2151.254517659,35.2,40.2705575480085,-7.50182523329736
2235,2151.254517659,35.1,40.2705623100478,-7.50182065482983
2236,2151.254517659,35.1,40.2705673459783,-7.50181583637357
2237,2151.582601659,35.1,40.2705721206542,-7.50181129131765
2238,2151.582601659,35.1,40.2705770821974,-7.5018065842334
2239,2151.582601659,35.2,40.2705818473633,-7.50180208300775
2240,2151.582601659,35.1,40.2705868284738,-7.50179754405932
2241,2151.582601659,35.1,40.270591742258,-7.50179291421696
2242,2151.582601659,35.2,40.2705969890524,-7.50178793121754
2243,2151.582601659,35.1,40.2706019793604,-7.50178321048124
2244,2151.582601659,35.2,40.2706075534721,-7.50177800761191
2245,2151.582601659,35.2,40.2706125078241,-7.50177334435794
2246,2151.582601659,35.1,40.2706176631,-7.50176845404877
2247,2151.582601659,35.2,40.2706226153024,-7.50176377211305
2248,2151.254517659,35.2,40.2706278762578,-7.50175881641773
2249,2151.254517659,35.1,40.2706329280298,-7.50175410322599
2250,2151.254517659,35.1,40.270637894315,-7.50174931746281
2251,2151.254517659,35.1,40.2706426281235,-7.50174476342527
2252,2151.254517659,35.1,40.2706476306514,-7.50173995790254
2253,2151.254517659,35.2,40.270652016976,-7.50173564385372
2254,2151.254517659,35.3,40.2706570343813,-7.50173085234231
2255,2151.254517659,35.4,40.2706617801752,-7.50172627064139
2256,2151.254517659,35.4,40.2706667512024,-7.50172141589942
2257,2151.254517659,35.3,40.2706714863007,-7.5017167501306
2258,2151.254517659,35.3,40.2706763780553,-7.50171204340562
2259,2151.254517659,35.3,40.2706810794903,-7.50170752888718
2260,2151.254517659,35.3,40.2706860932479,-7.50170269210843
2261,2151.254517659,35.2,40.270691007944,-7.50169802454329
2262,2151.254517659,35.2,40.2706960099508,-7.50169327722142
2263,2150.926433659,35.2,40.2707007317479,-7.50168876054739
2264,2151.254517659,35.3,40.2707056456493,-7.50168402220713
2265,2151.254517659,35.3,40.2707103032792,-7.50167954038177
2266,2151.582601659,35.3,40.2707151752189,-7.50167493604719
2267,2151.582601659,35.3,40.2707198645058,-7.50167044955138
2268,2151.254517659,35.3,40.2707248231047,-7.50166568282922
2269,2151.254517659,35.3,40.2707295464652,-7.5016611650774
2270,2151.254517659,35.3,40.2707345722211,-7.50165640194789
2271,2151.254517659,35.3,40.2707392840717,-7.50165194455251
2272,2151.254517659,35.3,40.270744223201,-7.50164728704678
2273,2151.254517659,35.3,40.27074897261,-7.50164279875465
2274,2151.254517659,35.3,40.2707542388351,-7.50163782042567
2275,2151.254517659,35.3,40.2707589476698,-7.50163335871912
